what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301507049547
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301507053104
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301507055074
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301507059425
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301507063477
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301507071037
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301507080559
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301507099665
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1301507101556
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301507183445
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301507186308
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301507334269
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1301507338665
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1301507341274
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301507343264
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301507880821
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301507880877
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301507881327
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301507890407
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301507927705
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301507933386
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301507934447
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301507946706
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301508784516
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301508886386
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301508893314
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301509921712
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301509929175
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1301509930452
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1301509930454
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1301509930456
